# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,,,
# Number of header lines: 36,,,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,,,
# Device type: SQM-LU,,,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,,,
# Data supplier: ,,,,,,,,,,,,
# Location name: Pantai Melawi,,,,,,,,,,,,
"# Position (lat, lon, elev(m)): 5.997043, 102.431805, 0",,,,,,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,,,
# Filters per channel: HOYA CM-500,,,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,,,
# Field of view (degrees): ,,,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,,,
# SQM serial number: 1028,,,,,,,,,,,,
# SQM hardware identity: F,ESKZMO,,,,,,,,,,,
# SQM firmware version: 4-3-54,,,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,,,
"# SQM readout test ix: i,00000004,00000003,00000054,00001028",,,,,,,,,,,,
"# SQM readout test rx: r, 20.98m,0000000000Hz,0001229724c,0000002.669s, 026.1C",,,,,,,,,,,,
"# SQM readout test cx: c,00000019.88m,0000161.565s, 019.6C,00000008.71m, 023.5C",,,,,,,,,,,,
# Comment: 10 deg  sunrise-2,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,if percent = 0
# Comment: ,,,,,,,,,,,,
# UDM version: 1.0.0.205,,,,,,,,,,,,
"# UDM setting: Logged continuously every 10 seconds,",hreshold = 0.00 mpsas.,,,,,,,,,,,
# blank line,,,,,,,,,,,,
# U,C Date & ,"ime, Local Date & ","ime, ","emperature, Counts, Frequency, MSAS",,,,,"ime, ",,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,HH:mm:ss.fff,mag/arcsec^2,,
# END OF HEADER,,,,,,,,,,,,
10/07/2019,20:10.1,11/07/2019,5:20:10,26.1,1229724,0,20.98,,5:20:10,20.98,0.02,
10/07/2019,20:20.2,11/07/2019,5:20:20,26.4,1264202,1,21,,5:20:20,21,0,
10/07/2019,20:30.2,11/07/2019,5:20:30,26.4,1266910,0,21,,5:20:30,21,0.01,
10/07/2019,20:40.2,11/07/2019,5:20:40,26.4,1274221,1,21.01,,5:20:40,21.01,0.01,
10/07/2019,20:50.2,11/07/2019,5:20:50,26.4,1282023,0,21.02,,5:20:50,21.02,0,
10/07/2019,21:00.2,11/07/2019,5:21:00,26.4,1287597,0,21.02,,5:21:00,21.02,0,
10/07/2019,21:10.2,11/07/2019,5:21:10,26.4,1290154,1,21.02,,5:21:10,21.02,0,
10/07/2019,21:20.2,11/07/2019,5:21:20,26.4,1291098,0,21.02,,5:21:20,21.02,0,
10/07/2019,21:30.2,11/07/2019,5:21:30,26.4,1294212,1,21.02,,5:21:30,21.02,0.01,
10/07/2019,21:40.2,11/07/2019,5:21:40,26.4,1296583,0,21.03,,5:21:40,21.03,0.02,
10/07/2019,21:50.2,11/07/2019,5:21:50,26.4,1316499,1,21.05,,5:21:50,21.05,0.01,
10/07/2019,22:00.1,11/07/2019,5:22:00,26.4,1328656,0,21.06,,5:22:00,21.06,0,
10/07/2019,22:10.2,11/07/2019,5:22:10,26.4,1335139,1,21.06,,5:22:10,21.06,0.01,
10/07/2019,22:20.2,11/07/2019,5:22:20,26.4,1344612,0,21.07,,5:22:20,21.07,0.01,
10/07/2019,22:30.2,11/07/2019,5:22:30,26.4,1355028,0,21.08,,5:22:30,21.08,0.01,
10/07/2019,22:40.2,11/07/2019,5:22:40,26.4,1361951,1,21.09,,5:22:40,21.09,0,
10/07/2019,22:50.2,11/07/2019,5:22:50,26.4,1366452,0,21.09,,5:22:50,21.09,0,
10/07/2019,23:00.1,11/07/2019,5:23:00,26.4,1367416,0,21.09,,5:23:00,21.09,0,
10/07/2019,23:10.2,11/07/2019,5:23:10,26.4,1369478,0,21.09,,5:23:10,21.09,0.01,
10/07/2019,23:20.2,11/07/2019,5:23:20,26.4,1377637,0,21.1,,5:23:20,21.1,0.01,
10/07/2019,23:30.2,11/07/2019,5:23:30,26.4,1388962,0,21.11,,5:23:30,21.11,0,
