# Light Pollution Monitoring Data Format 1.0,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,
# Number of header lines: 42,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,
# Instrument ID: ,,,,,,,,,
# Data supplier: ,,,,,,,,,
# Location name: ONL,,,,,,,,,
# Position (lat, lon, elev(m)): 6.307,6:44:47 PM,0,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,
# Number of channels: 1,,,,,,,,,
# Filters per channel: ,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,
# SQM readout test ix (Information): i,4,6,12:00:00 AM,6257,,,,,
# SQM readout test rx (Reading): r, 19.84m,0000000001Hz,0000418918c,0000000.909s, 023.2C,,,,
# SQM readout test cx (Calibration): c,00000019.93m,0000135.909s, 020.6C,00000008.71m, 019.9C,,,,
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m,,,,,,
# DL time difference (seconds): -784886258,,,,,,,,,
# DL retrieved at (U,C): 2024-12-04,22:01.9,,,,,,,
# DL trigger seconds : 0,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,
# Comment: 10,,,,,,,,,
# Comment: ,,,,,,,,,
# Comment: ,,,,,,,,,
# Comment: ,,,,,,,,,
# Comment: ,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,hreshold = 0 mpsas.,,,,,,,
# blank line,,,,,,,,,
# U,C Date & ,ime, Local Date & ,ime, ,emperature, Counts, Frequency, MSAS
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,
# END OF HEADER,,,,,,,,,
04/12/2024,22:02.0,05/12/2024,4:22:02 AM,23.2,418918,1,19.84,,
04/12/2024,22:12.1,05/12/2024,4:22:12 AM,23.5,425380,1,19.86,,
04/12/2024,22:22.1,05/12/2024,4:22:22 AM,23.2,428853,2,19.87,,
04/12/2024,22:32.1,05/12/2024,4:22:32 AM,23.2,430197,1,19.87,,
04/12/2024,22:42.1,05/12/2024,4:22:42 AM,23.2,435300,1,19.88,,
04/12/2024,22:52.1,05/12/2024,4:22:52 AM,23.5,437239,1,19.89,,
04/12/2024,23:02.1,05/12/2024,4:23:02 AM,23.2,439484,1,19.89,,
04/12/2024,23:12.1,05/12/2024,4:23:12 AM,23.2,442101,1,19.9,,
04/12/2024,23:22.1,05/12/2024,4:23:22 AM,23.2,443834,1,19.9,,
04/12/2024,23:32.1,05/12/2024,4:23:32 AM,23.2,444375,1,19.9,,
04/12/2024,23:42.1,05/12/2024,4:23:42 AM,23.2,445756,1,19.91,,
04/12/2024,23:52.1,05/12/2024,4:23:52 AM,23.2,446626,1,19.91,,
04/12/2024,24:02.1,05/12/2024,4:24:02 AM,23.2,447984,1,19.91,,
04/12/2024,24:12.1,05/12/2024,4:24:12 AM,23.5,449928,1,19.92,,
04/12/2024,24:22.1,05/12/2024,4:24:22 AM,23.2,446688,1,19.91,,
04/12/2024,24:32.1,05/12/2024,4:24:32 AM,23.5,449795,1,19.92,,
04/12/2024,24:42.1,05/12/2024,4:24:42 AM,23.5,450447,1,19.92,,
04/12/2024,24:52.1,05/12/2024,4:24:52 AM,23.2,451557,1,19.93,,
04/12/2024,25:02.1,05/12/2024,4:25:02 AM,23.5,453127,1,19.93,,
04/12/2024,25:12.1,05/12/2024,4:25:12 AM,23.2,453092,1,19.93,,
04/12/2024,25:22.1,05/12/2024,4:25:22 AM,23.5,453501,1,19.93,,
04/12/2024,25:32.1,05/12/2024,4:25:32 AM,23.2,454372,1,19.93,,
04/12/2024,25:42.1,05/12/2024,4:25:42 AM,23.2,455401,1,19.93,,
04/12/2024,25:52.1,05/12/2024,4:25:52 AM,23.5,456506,1,19.93,,
04/12/2024,26:02.1,05/12/2024,4:26:02 AM,23.2,457169,1,19.94,,
04/12/2024,26:12.1,05/12/2024,4:26:12 AM,23.2,457610,1,19.94,,
04/12/2024,26:22.1,05/12/2024,4:26:22 AM,23.5,458629,1,19.94,,
04/12/2024,26:32.1,05/12/2024,4:26:32 AM,23.5,459279,1,19.95,,
04/12/2024,26:42.1,05/12/2024,4:26:42 AM,23.5,459731,1,19.95,,
04/12/2024,26:52.1,05/12/2024,4:26:52 AM,23.5,460179,1,19.95,,
04/12/2024,27:02.1,05/12/2024,4:27:02 AM,23.5,459987,2,19.95,,
04/12/2024,27:12.1,05/12/2024,4:27:12 AM,23.5,459989,1,19.95,,
04/12/2024,27:22.1,05/12/2024,4:27:22 AM,23.5,460237,1,19.95,,
04/12/2024,27:32.1,05/12/2024,4:27:32 AM,23.5,460631,1,19.95,,
04/12/2024,27:42.1,05/12/2024,4:27:42 AM,23.5,460258,1,19.95,,
04/12/2024,27:52.1,05/12/2024,4:27:52 AM,23.5,461251,1,19.95,,
04/12/2024,28:02.1,05/12/2024,4:28:02 AM,23.5,461827,1,19.95,,
04/12/2024,28:12.1,05/12/2024,4:28:12 AM,23.2,462573,1,19.95,,
04/12/2024,28:22.1,05/12/2024,4:28:22 AM,23.5,462935,1,19.95,,
04/12/2024,28:32.1,05/12/2024,4:28:32 AM,23.5,463296,1,19.95,,
04/12/2024,28:42.1,05/12/2024,4:28:42 AM,23.5,463119,1,19.95,,
04/12/2024,28:52.1,05/12/2024,4:28:52 AM,23.5,463265,1,19.95,,
04/12/2024,29:02.1,05/12/2024,4:29:02 AM,23.5,463066,1,19.95,,
04/12/2024,29:12.1,05/12/2024,4:29:12 AM,23.5,463200,1,19.95,,
04/12/2024,29:22.1,05/12/2024,4:29:22 AM,23.5,463344,1,19.95,,
04/12/2024,29:32.1,05/12/2024,4:29:32 AM,23.5,463590,1,19.95,,
04/12/2024,29:42.1,05/12/2024,4:29:42 AM,23.5,463507,1,19.95,,
04/12/2024,29:52.1,05/12/2024,4:29:52 AM,23.5,463362,1,19.95,,
04/12/2024,30:02.1,05/12/2024,4:30:02 AM,23.5,462891,1,19.95,,
04/12/2024,30:12.1,05/12/2024,4:30:12 AM,23.2,462936,1,19.95,,
04/12/2024,30:22.1,05/12/2024,4:30:22 AM,23.5,462845,1,19.95,,
04/12/2024,30:32.1,05/12/2024,4:30:32 AM,23.2,462844,1,19.95,,
04/12/2024,30:42.1,05/12/2024,4:30:42 AM,23.5,462085,1,19.95,,
04/12/2024,30:52.1,05/12/2024,4:30:52 AM,23.5,465038,1,19.96,,
04/12/2024,31:02.1,05/12/2024,4:31:02 AM,23.5,466741,1,19.96,,
04/12/2024,31:12.1,05/12/2024,4:31:12 AM,23.5,465682,1,19.96,,
04/12/2024,31:22.1,05/12/2024,4:31:22 AM,23.5,464713,1,19.95,,
04/12/2024,31:32.1,05/12/2024,4:31:32 AM,23.5,464324,1,19.95,,
04/12/2024,31:42.1,05/12/2024,4:31:42 AM,23.5,463632,1,19.95,,
04/12/2024,31:52.1,05/12/2024,4:31:52 AM,23.5,463712,1,19.95,,
