# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,,
# Number of header lines: 42,,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,,
# Data supplier: Pantai Airport Langkawi,,,,,,,,,,,
# Location name: observatory  negara langkawi,,,,,,,,,,,
# Position (lat, lon, elev(m)): 6.326312,5:21:26 PM,0,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,,
# Filters per channel: ,,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,,
# SQM readout test ix (Information): i,4,6,12:00:00 AM,6257,,,,,,,
# SQM readout test rx (Reading): r, 19.66m,0000000001Hz,0000352634c,0000000.765s, 024.1C,,,,,,
# SQM readout test cx (Calibration): c,00000019.93m,0000135.909s, 020.6C,00000008.71m, 019.9C,,,,,,
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m,,,,,,,,
# DL time difference (seconds): -784886258,,,,,,,,,,,
# DL retrieved at (U,C): 2024-12-06,44:01.8,,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,,,
# Comment: 10 degree,,,,,,,,,,,
# Comment: D3,,,,,,,,,,,
# Comment: ,,,,,,,,,,,
# Comment: ,,,,,,,,,,,
# Comment: ,,,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,hreshold = 0 mpsas.,,,,,,,,,
# blank line,,,,,,,,,,,
# U,C Date & ,ime, Local Date & ,ime, ,emperature, Counts, Frequency, MSAS,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,,,
# END OF HEADER,,,,,,,,,,,
06/12/2024,44:01.9,07/12/2024,3:44:02 AM,24.1,352634,1,19.66,,,,
06/12/2024,44:11.1,07/12/2024,3:44:11 AM,24.1,354304,1,19.66,,,,
06/12/2024,44:21.1,07/12/2024,3:44:21 AM,24.1,355394,1,19.66,,,,
06/12/2024,44:31.1,07/12/2024,3:44:31 AM,24.1,356462,1,19.67,,,,
06/12/2024,44:41.1,07/12/2024,3:44:41 AM,24.1,357676,1,19.67,,,,
06/12/2024,44:51.1,07/12/2024,3:44:51 AM,24.1,358328,2,19.67,,,,
06/12/2024,45:01.1,07/12/2024,3:45:01 AM,24.1,359658,2,19.68,,,,
06/12/2024,45:11.1,07/12/2024,3:45:11 AM,24.1,361822,1,19.68,,,,
06/12/2024,45:21.1,07/12/2024,3:45:21 AM,24.1,363889,1,19.69,,,,
06/12/2024,45:31.1,07/12/2024,3:45:31 AM,24.1,365458,2,19.7,,,,
06/12/2024,45:41.1,07/12/2024,3:45:41 AM,24.1,366497,1,19.7,,,,
06/12/2024,45:51.1,07/12/2024,3:45:51 AM,24.1,368195,2,19.7,,,,
06/12/2024,46:01.1,07/12/2024,3:46:01 AM,24.1,369835,1,19.71,,,,
06/12/2024,46:11.1,07/12/2024,3:46:11 AM,24.1,370810,2,19.71,,,,
06/12/2024,46:21.1,07/12/2024,3:46:21 AM,24.1,371786,1,19.71,,,,
06/12/2024,46:31.1,07/12/2024,3:46:31 AM,24.1,372742,1,19.72,,,,
06/12/2024,46:41.1,07/12/2024,3:46:41 AM,24.1,375002,2,19.73,,,,
06/12/2024,46:51.1,07/12/2024,3:46:51 AM,24.1,375977,1,19.73,,,,
06/12/2024,47:01.1,07/12/2024,3:47:01 AM,24.1,376837,1,19.73,,,,
06/12/2024,47:11.1,07/12/2024,3:47:11 AM,24.1,378531,1,19.73,,,,
06/12/2024,47:21.1,07/12/2024,3:47:21 AM,24.1,380548,1,19.74,,,,
06/12/2024,47:31.1,07/12/2024,3:47:31 AM,24.1,381059,2,19.74,,,,
06/12/2024,47:41.1,07/12/2024,3:47:41 AM,24.1,382781,2,19.74,,,,
06/12/2024,47:51.1,07/12/2024,3:47:51 AM,24.1,383576,2,19.75,,,,
06/12/2024,48:01.1,07/12/2024,3:48:01 AM,24.1,384575,2,19.75,,,,
06/12/2024,48:11.1,07/12/2024,3:48:11 AM,24.1,385359,2,19.75,,,,
06/12/2024,48:21.1,07/12/2024,3:48:21 AM,24.1,387373,1,19.76,,,,
06/12/2024,48:31.1,07/12/2024,3:48:31 AM,24.1,388526,1,19.76,,,,
06/12/2024,48:41.1,07/12/2024,3:48:41 AM,24.1,390195,1,19.77,,,,
06/12/2024,48:51.1,07/12/2024,3:48:51 AM,24.1,391697,1,19.77,,,,
06/12/2024,49:01.1,07/12/2024,3:49:01 AM,24.1,392521,1,19.77,,,,
06/12/2024,49:11.1,07/12/2024,3:49:11 AM,24.1,393530,2,19.78,,,,
06/12/2024,49:21.1,07/12/2024,3:49:21 AM,24.1,393766,1,19.78,,,,
06/12/2024,49:31.1,07/12/2024,3:49:31 AM,24.1,395160,1,19.78,,,,
06/12/2024,49:41.1,07/12/2024,3:49:41 AM,24.1,399279,1,19.79,,,,
06/12/2024,49:51.1,07/12/2024,3:49:51 AM,24.1,403853,1,19.8,,,,
06/12/2024,50:01.1,07/12/2024,3:50:01 AM,24.1,406791,1,19.81,,,,
06/12/2024,50:11.1,07/12/2024,3:50:11 AM,24.1,407784,1,19.82,,,,
06/12/2024,50:21.1,07/12/2024,3:50:21 AM,24.1,410462,1,19.82,,,,
06/12/2024,50:31.1,07/12/2024,3:50:31 AM,24.1,411583,1,19.82,,,,
06/12/2024,50:41.1,07/12/2024,3:50:41 AM,24.4,411917,1,19.83,,,,
06/12/2024,50:51.1,07/12/2024,3:50:51 AM,24.1,412927,1,19.83,,,,
06/12/2024,51:01.1,07/12/2024,3:51:01 AM,24.1,413537,1,19.83,,,,
06/12/2024,51:11.1,07/12/2024,3:51:11 AM,24.1,414302,2,19.83,,,,
06/12/2024,51:21.1,07/12/2024,3:51:21 AM,24.1,413681,1,19.83,,,,
06/12/2024,51:31.1,07/12/2024,3:51:31 AM,24.1,413600,1,19.83,,,,
06/12/2024,51:41.1,07/12/2024,3:51:41 AM,24.1,414512,1,19.83,,,,
06/12/2024,51:51.1,07/12/2024,3:51:51 AM,24.1,415051,1,19.83,,,,
06/12/2024,52:01.1,07/12/2024,3:52:01 AM,24.1,415069,1,19.83,,,,
06/12/2024,52:11.1,07/12/2024,3:52:11 AM,24.1,416280,1,19.84,,,,
06/12/2024,52:21.1,07/12/2024,3:52:21 AM,24.1,417346,1,19.84,,,,
06/12/2024,52:31.1,07/12/2024,3:52:31 AM,24.1,417916,1,19.84,,,,
06/12/2024,52:41.1,07/12/2024,3:52:41 AM,24.1,418479,1,19.84,,,,
06/12/2024,52:51.1,07/12/2024,3:52:51 AM,24.1,419621,1,19.84,,,,
06/12/2024,53:01.1,07/12/2024,3:53:01 AM,24.1,419799,1,19.84,,,,
06/12/2024,53:11.1,07/12/2024,3:53:11 AM,24.1,421393,1,19.85,,,,
06/12/2024,53:21.1,07/12/2024,3:53:21 AM,24.1,423049,1,19.85,,,,
06/12/2024,53:31.1,07/12/2024,3:53:31 AM,24.1,422719,1,19.85,,,,
06/12/2024,53:41.1,07/12/2024,3:53:41 AM,24.1,422597,1,19.85,,,,
06/12/2024,53:51.1,07/12/2024,3:53:51 AM,24.1,422998,1,19.85,,,,
06/12/2024,54:01.1,07/12/2024,3:54:01 AM,24.1,423353,1,19.85,,,,
06/12/2024,54:11.1,07/12/2024,3:54:11 AM,24.4,423778,1,19.85,,,,
06/12/2024,54:21.1,07/12/2024,3:54:21 AM,24.1,425461,1,19.86,,,,
06/12/2024,54:31.1,07/12/2024,3:54:31 AM,24.4,427232,1,19.86,,,,
06/12/2024,54:41.1,07/12/2024,3:54:41 AM,24.1,428580,1,19.87,,,,
06/12/2024,54:51.1,07/12/2024,3:54:51 AM,24.1,429505,1,19.87,,,,
06/12/2024,55:01.1,07/12/2024,3:55:01 AM,24.1,429076,1,19.87,,,,
06/12/2024,55:11.1,07/12/2024,3:55:11 AM,24.4,428483,1,19.87,,,,
06/12/2024,55:21.1,07/12/2024,3:55:21 AM,24.1,429270,1,19.87,,,,
06/12/2024,55:31.1,07/12/2024,3:55:31 AM,24.1,429089,1,19.87,,,,
06/12/2024,55:41.1,07/12/2024,3:55:41 AM,24.1,428829,1,19.87,,,,
06/12/2024,55:51.1,07/12/2024,3:55:51 AM,24.4,428050,1,19.87,,,,
06/12/2024,56:01.1,07/12/2024,3:56:01 AM,24.4,426886,1,19.86,,,,
06/12/2024,56:11.1,07/12/2024,3:56:11 AM,24.1,426520,1,19.86,,,,
06/12/2024,56:21.1,07/12/2024,3:56:21 AM,24.1,425705,1,19.86,,,,
06/12/2024,56:31.1,07/12/2024,3:56:31 AM,24.1,424912,1,19.86,,,,
06/12/2024,56:41.1,07/12/2024,3:56:41 AM,24.1,425686,1,19.86,,,,
06/12/2024,56:51.1,07/12/2024,3:56:51 AM,24.1,424829,1,19.86,,,,
06/12/2024,57:01.1,07/12/2024,3:57:01 AM,24.4,424866,1,19.86,,,,
06/12/2024,57:11.1,07/12/2024,3:57:11 AM,24.1,425816,1,19.86,,,,
06/12/2024,57:21.1,07/12/2024,3:57:21 AM,24.1,424860,1,19.86,,,,
06/12/2024,57:31.1,07/12/2024,3:57:31 AM,24.1,423979,1,19.86,,,,
06/12/2024,57:41.1,07/12/2024,3:57:41 AM,24.1,424099,1,19.86,,,,
06/12/2024,57:51.1,07/12/2024,3:57:51 AM,24.1,423791,1,19.85,,,,
06/12/2024,58:01.1,07/12/2024,3:58:01 AM,24.1,424685,1,19.86,,,,
06/12/2024,58:11.1,07/12/2024,3:58:11 AM,24.1,424748,1,19.86,,,,
06/12/2024,58:21.1,07/12/2024,3:58:21 AM,24.1,424574,1,19.86,,,,
06/12/2024,58:31.1,07/12/2024,3:58:31 AM,24.1,423981,1,19.86,,,,
06/12/2024,58:41.1,07/12/2024,3:58:41 AM,24.1,423868,2,19.85,,,,
06/12/2024,58:51.1,07/12/2024,3:58:51 AM,24.1,424104,1,19.86,,,,
06/12/2024,59:01.1,07/12/2024,3:59:01 AM,24.1,424433,1,19.86,,,,
06/12/2024,59:11.1,07/12/2024,3:59:11 AM,24.1,424381,1,19.86,,,,
06/12/2024,59:21.1,07/12/2024,3:59:21 AM,24.1,424432,1,19.86,,,,
06/12/2024,59:31.1,07/12/2024,3:59:31 AM,24.1,427506,1,19.86,,,,
06/12/2024,59:41.1,07/12/2024,3:59:41 AM,24.1,429081,1,19.87,,,,
06/12/2024,59:51.1,07/12/2024,3:59:51 AM,24.1,429577,1,19.87,,,,
06/12/2024,00:01.1,07/12/2024,4:00:01 AM,24.1,430239,1,19.87,,,,
06/12/2024,00:11.1,07/12/2024,4:00:11 AM,24.1,430839,1,19.87,,,,
06/12/2024,00:21.1,07/12/2024,4:00:21 AM,24.1,429860,1,19.87,,,,
06/12/2024,00:31.1,07/12/2024,4:00:31 AM,24.1,430066,1,19.87,,,,
06/12/2024,00:41.1,07/12/2024,4:00:41 AM,24.1,431103,1,19.87,,,,
06/12/2024,00:51.1,07/12/2024,4:00:51 AM,24.1,430706,1,19.87,,,,
06/12/2024,01:01.1,07/12/2024,4:01:01 AM,24.1,431530,1,19.87,,,,
06/12/2024,01:11.1,07/12/2024,4:01:11 AM,24.1,431711,1,19.87,,,,
06/12/2024,01:21.1,07/12/2024,4:01:21 AM,24.1,431884,1,19.87,,,,
06/12/2024,01:31.1,07/12/2024,4:01:31 AM,24.1,432661,1,19.88,,,,
06/12/2024,01:41.1,07/12/2024,4:01:41 AM,24.1,433869,1,19.88,,,,
06/12/2024,01:51.1,07/12/2024,4:01:51 AM,24.1,434622,1,19.88,,,,
06/12/2024,02:01.1,07/12/2024,4:02:01 AM,24.1,436445,1,19.89,,,,
06/12/2024,02:11.1,07/12/2024,4:02:11 AM,24.1,437912,1,19.89,,,,
06/12/2024,02:21.1,07/12/2024,4:02:21 AM,24.1,438344,1,19.89,,,,
06/12/2024,02:31.1,07/12/2024,4:02:31 AM,24.1,438531,1,19.89,,,,
06/12/2024,02:41.1,07/12/2024,4:02:41 AM,24.1,439657,1,19.89,,,,
06/12/2024,02:51.1,07/12/2024,4:02:51 AM,24.1,439191,1,19.89,,,,
06/12/2024,03:01.1,07/12/2024,4:03:01 AM,24.1,433124,1,19.88,,,,
06/12/2024,03:11.1,07/12/2024,4:03:11 AM,24.1,386093,2,19.75,,,,
06/12/2024,03:21.1,07/12/2024,4:03:21 AM,24.1,396688,1,19.78,,,,
06/12/2024,03:31.1,07/12/2024,4:03:31 AM,24.1,430294,1,19.87,,,,
06/12/2024,03:41.1,07/12/2024,4:03:41 AM,24.1,439225,1,19.89,,,,
06/12/2024,03:51.1,07/12/2024,4:03:51 AM,24.1,440835,1,19.9,,,,
06/12/2024,04:01.1,07/12/2024,4:04:01 AM,24.1,434150,1,19.88,,,,
06/12/2024,04:11.1,07/12/2024,4:04:11 AM,24.1,439077,1,19.89,,,,
06/12/2024,04:21.1,07/12/2024,4:04:21 AM,24.1,435413,1,19.88,,,,
06/12/2024,04:31.1,07/12/2024,4:04:31 AM,24.1,430613,1,19.87,,,,
06/12/2024,04:41.1,07/12/2024,4:04:41 AM,24.1,428537,1,19.87,,,,
06/12/2024,04:51.1,07/12/2024,4:04:51 AM,24.1,428273,1,19.87,,,,
06/12/2024,05:01.1,07/12/2024,4:05:01 AM,24.1,429795,1,19.87,,,,
06/12/2024,05:11.1,07/12/2024,4:05:11 AM,24.1,430879,1,19.87,,,,
06/12/2024,05:21.1,07/12/2024,4:05:21 AM,24.1,431818,1,19.87,,,,
06/12/2024,05:31.1,07/12/2024,4:05:31 AM,24.1,431694,1,19.87,,,,
06/12/2024,05:41.1,07/12/2024,4:05:41 AM,24.1,431512,1,19.87,,,,
06/12/2024,05:51.1,07/12/2024,4:05:51 AM,24.1,431917,1,19.87,,,,
06/12/2024,06:01.1,07/12/2024,4:06:01 AM,24.1,432775,1,19.88,,,,
06/12/2024,06:11.1,07/12/2024,4:06:11 AM,24.1,433786,1,19.88,,,,
06/12/2024,06:21.1,07/12/2024,4:06:21 AM,24.1,433951,1,19.88,,,,
06/12/2024,06:31.1,07/12/2024,4:06:31 AM,24.1,433984,1,19.88,,,,
06/12/2024,06:41.1,07/12/2024,4:06:41 AM,24.1,435195,1,19.88,,,,
06/12/2024,06:51.1,07/12/2024,4:06:51 AM,24.1,436191,1,19.88,,,,
06/12/2024,07:01.1,07/12/2024,4:07:01 AM,24.1,436262,1,19.89,,,,
06/12/2024,07:11.1,07/12/2024,4:07:11 AM,24.1,437348,2,19.89,,,,
06/12/2024,07:21.1,07/12/2024,4:07:21 AM,24.1,415674,1,19.83,,,,
06/12/2024,07:31.1,07/12/2024,4:07:31 AM,24.1,441564,1,19.9,,,,
06/12/2024,07:41.1,07/12/2024,4:07:41 AM,24.1,442436,1,19.9,,,,
06/12/2024,07:51.1,07/12/2024,4:07:51 AM,24.1,442801,1,19.9,,,,
