# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,
# Number of header lines: 42,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,
# Data supplier: ,,,,,,,,,,
# Location name: ObservatoriNegaraLangkawi,,,,,,,,,,
# Position (lat,,,,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,
# Filters per channel: ,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,
# SQM readout test ix (Information): i,,,,,,,,,,
# SQM readout test rx (Reading): r,,,,,,,,,,
# SQM readout test cx (Calibration): c,,,,,,,,,,
# SQM readout test Ix (Report Interval): 0000000000s,,,,,,,,,,
# DL time difference (seconds): -784886259,,,,,,,,,,
# DL retrieved at (U,C): 2024-12-07,24:00.6,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,,
# Comment: 10 degrees,,,,,,,,,,
# Comment: day 4,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,,,,,,,,,
# blank line,,,,,,,,,,
# U,C Date & ,ime,,,,,,,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,,
# END OF HEADER,,,,,,,,,,
07/12/2024,24:00.7,08/12/2024,4:24:01 AM,23.8,512081,1,20.06,,,
07/12/2024,24:10.1,08/12/2024,4:24:10 AM,23.8,512366,1,20.06,,,
07/12/2024,24:20.1,08/12/2024,4:24:20 AM,23.5,512224,1,20.06,,,
07/12/2024,24:30.1,08/12/2024,4:24:30 AM,23.8,511737,1,20.06,,,
07/12/2024,24:40.1,08/12/2024,4:24:40 AM,23.8,511731,1,20.06,,,
07/12/2024,24:50.1,08/12/2024,4:24:50 AM,23.8,511697,1,20.06,,,
07/12/2024,25:00.1,08/12/2024,4:25:00 AM,23.8,511964,1,20.06,,,
07/12/2024,25:10.1,08/12/2024,4:25:10 AM,23.8,511558,1,20.06,,,
07/12/2024,25:20.1,08/12/2024,4:25:20 AM,23.8,510545,1,20.06,,,
07/12/2024,25:30.1,08/12/2024,4:25:30 AM,23.8,510690,1,20.06,,,
07/12/2024,25:40.1,08/12/2024,4:25:40 AM,23.8,510629,1,20.06,,,
07/12/2024,25:50.1,08/12/2024,4:25:50 AM,23.8,509898,1,20.05,,,
07/12/2024,26:00.1,08/12/2024,4:26:00 AM,23.5,511599,1,20.06,,,
07/12/2024,26:10.1,08/12/2024,4:26:10 AM,23.8,511790,1,20.06,,,
07/12/2024,26:20.1,08/12/2024,4:26:20 AM,23.8,511513,1,20.06,,,
07/12/2024,26:30.1,08/12/2024,4:26:30 AM,23.8,512361,1,20.06,,,
07/12/2024,26:40.1,08/12/2024,4:26:40 AM,23.8,512408,1,20.06,,,
07/12/2024,26:50.1,08/12/2024,4:26:50 AM,23.8,511942,1,20.06,,,
07/12/2024,27:00.1,08/12/2024,4:27:00 AM,23.8,512704,1,20.06,,,
07/12/2024,27:10.1,08/12/2024,4:27:10 AM,23.8,512554,1,20.06,,,
07/12/2024,27:20.1,08/12/2024,4:27:20 AM,23.8,512263,1,20.06,,,
07/12/2024,27:30.1,08/12/2024,4:27:30 AM,23.8,512160,1,20.06,,,
07/12/2024,27:40.1,08/12/2024,4:27:40 AM,23.8,511658,1,20.06,,,
07/12/2024,27:50.1,08/12/2024,4:27:50 AM,23.8,512091,1,20.06,,,
